"state","eth","male","age","educ","n"
"FL","Black",-0.5,"30-39","Post-grad",20171
"FL","Black",-0.5,"40-49","No HS",19433
"FL","Black",-0.5,"40-49","HS",54482
"FL","Black",-0.5,"40-49","Some college",72141
"FL","Black",-0.5,"40-49","4-Year College",28901
"FL","Black",-0.5,"40-49","Post-grad",19295
"FL","Black",-0.5,"50-59","No HS",27552
"FL","Black",-0.5,"50-59","HS",63582
"FL","Black",-0.5,"50-59","Some college",62176
"FL","Black",-0.5,"50-59","4-Year College",25946
"FL","Black",-0.5,"50-59","Post-grad",14767
"FL","Black",-0.5,"60-69","No HS",27803
"FL","Black",-0.5,"60-69","HS",48014
"FL","Black",-0.5,"60-69","Some college",44528
"FL","Black",-0.5,"60-69","4-Year College",16155
"FL","Black",-0.5,"60-69","Post-grad",12409
"FL","Black",-0.5,"70+","No HS",43936
"FL","Black",-0.5,"70+","HS",36419
"FL","Black",-0.5,"70+","Some college",22407
"FL","Black",-0.5,"70+","4-Year College",10547
"FL","Black",-0.5,"70+","Post-grad",8677
"FL","Black",0.5,"18-29","No HS",55594
"FL","Black",0.5,"18-29","HS",107218
"FL","Black",0.5,"18-29","Some college",107449
"FL","Black",0.5,"18-29","4-Year College",21110
"FL","Black",0.5,"18-29","Post-grad",3337
"FL","Black",0.5,"30-39","No HS",28244
"FL","Black",0.5,"30-39","HS",68969
"FL","Black",0.5,"30-39","Some college",62652
"FL","Black",0.5,"30-39","4-Year College",23289
"FL","Black",0.5,"30-39","Post-grad",8234
"FL","Black",0.5,"40-49","No HS",23510
"FL","Black",0.5,"40-49","HS",64283
"FL","Black",0.5,"40-49","Some college",51764
"FL","Black",0.5,"40-49","4-Year College",22694
"FL","Black",0.5,"40-49","Post-grad",9784
"FL","Black",0.5,"50-59","No HS",32058
"FL","Black",0.5,"50-59","HS",66627
"FL","Black",0.5,"50-59","Some college",47471
"FL","Black",0.5,"50-59","4-Year College",16349
"FL","Black",0.5,"50-59","Post-grad",9077
"FL","Black",0.5,"60-69","No HS",25091
"FL","Black",0.5,"60-69","HS",40479
"FL","Black",0.5,"60-69","Some college",34725
"FL","Black",0.5,"60-69","4-Year College",12087
"FL","Black",0.5,"60-69","Post-grad",8547
"FL","Black",0.5,"70+","No HS",30104
"FL","Black",0.5,"70+","HS",24478
"FL","Black",0.5,"70+","Some college",16866
"FL","Black",0.5,"70+","4-Year College",7172
"FL","Black",0.5,"70+","Post-grad",6469
"FL","Other",-0.5,"18-29","No HS",12033
"FL","Other",-0.5,"18-29","HS",28058
"FL","Other",-0.5,"18-29","Some college",53760
"FL","Other",-0.5,"18-29","4-Year College",20172
"FL","Other",-0.5,"18-29","Post-grad",5697
"FL","Other",-0.5,"30-39","No HS",6959
"FL","Other",-0.5,"30-39","HS",18264
"FL","Other",-0.5,"30-39","Some college",31924
"FL","Other",-0.5,"30-39","4-Year College",24628
"FL","Other",-0.5,"30-39","Post-grad",13604
"FL","Other",-0.5,"40-49","No HS",8798
"FL","Other",-0.5,"40-49","HS",18259
"FL","Other",-0.5,"40-49","Some college",27684
"FL","Other",-0.5,"40-49","4-Year College",21829
"FL","Other",-0.5,"40-49","Post-grad",12956
"FL","Other",-0.5,"50-59","No HS",10126
"FL","Other",-0.5,"50-59","HS",19650
"FL","Other",-0.5,"50-59","Some college",23232
"FL","Other",-0.5,"50-59","4-Year College",16273
"FL","Other",-0.5,"50-59","Post-grad",8649
"FL","Other",-0.5,"60-69","No HS",11427
"FL","Other",-0.5,"60-69","HS",16286
"FL","Other",-0.5,"60-69","Some college",16039
"FL","Other",-0.5,"60-69","4-Year College",11053
"FL","Other",-0.5,"60-69","Post-grad",5768
"FL","Other",-0.5,"70+","No HS",16281
"FL","Other",-0.5,"70+","HS",13271
"FL","Other",-0.5,"70+","Some college",8921
"FL","Other",-0.5,"70+","4-Year College",6212
"FL","Other",-0.5,"70+","Post-grad",3854
"FL","Other",0.5,"18-29","No HS",17375
"FL","Other",0.5,"18-29","HS",37994
"FL","Other",0.5,"18-29","Some college",53753
"FL","Other",0.5,"18-29","4-Year College",15892
"FL","Other",0.5,"18-29","Post-grad",3681
"FL","Other",0.5,"30-39","No HS",9320
"FL","Other",0.5,"30-39","HS",21556
"FL","Other",0.5,"30-39","Some college",28508
"FL","Other",0.5,"30-39","4-Year College",17301
"FL","Other",0.5,"30-39","Post-grad",9535
"FL","Other",0.5,"40-49","No HS",10012
"FL","Other",0.5,"40-49","HS",17346
"FL","Other",0.5,"40-49","Some college",23134
"FL","Other",0.5,"40-49","4-Year College",17223
"FL","Other",0.5,"40-49","Post-grad",11695
"FL","Other",0.5,"50-59","No HS",10421
"FL","Other",0.5,"50-59","HS",17346
"FL","Other",0.5,"50-59","Some college",19032
"FL","Other",0.5,"50-59","4-Year College",12727
"FL","Other",0.5,"50-59","Post-grad",9794
"FL","Other",0.5,"60-69","No HS",8179
"FL","Other",0.5,"60-69","HS",11550
"FL","Other",0.5,"60-69","Some college",12521
"FL","Other",0.5,"60-69","4-Year College",9501
"FL","Other",0.5,"60-69","Post-grad",7315
"FL","Other",0.5,"70+","No HS",9753
"FL","Other",0.5,"70+","HS",7940
"FL","Other",0.5,"70+","Some college",6766
"FL","Other",0.5,"70+","4-Year College",5415
"FL","Other",0.5,"70+","Post-grad",6553
"FL","Hispanic",-0.5,"18-29","No HS",30010
"FL","Hispanic",-0.5,"18-29","HS",69924
"FL","Hispanic",-0.5,"18-29","Some college",125183
"FL","Hispanic",-0.5,"18-29","4-Year College",40897
"FL","Hispanic",-0.5,"18-29","Post-grad",9770
"FL","Hispanic",-0.5,"30-39","No HS",15738
"FL","Hispanic",-0.5,"30-39","HS",48452
"FL","Hispanic",-0.5,"30-39","Some college",80137
"FL","Hispanic",-0.5,"30-39","4-Year College",46983
"FL","Hispanic",-0.5,"30-39","Post-grad",23150
"FL","Hispanic",-0.5,"40-49","No HS",18231
"FL","Hispanic",-0.5,"40-49","HS",54751
"FL","Hispanic",-0.5,"40-49","Some college",73169
"FL","Hispanic",-0.5,"40-49","4-Year College",48374
"FL","Hispanic",-0.5,"40-49","Post-grad",26162
"FL","Hispanic",-0.5,"50-59","No HS",23111
"FL","Hispanic",-0.5,"50-59","HS",56671
"FL","Hispanic",-0.5,"50-59","Some college",69845
"FL","Hispanic",-0.5,"50-59","4-Year College",39685
"FL","Hispanic",-0.5,"50-59","Post-grad",18916
"FL","Hispanic",-0.5,"60-69","No HS",31499
"FL","Hispanic",-0.5,"60-69","HS",47069
"FL","Hispanic",-0.5,"60-69","Some college",43677
"FL","Hispanic",-0.5,"60-69","4-Year College",22626
"FL","Hispanic",-0.5,"60-69","Post-grad",11999
"FL","Hispanic",-0.5,"70+","No HS",82065
"FL","Hispanic",-0.5,"70+","HS",56669
"FL","Hispanic",-0.5,"70+","Some college",28854
"FL","Hispanic",-0.5,"70+","4-Year College",18331
"FL","Hispanic",-0.5,"70+","Post-grad",8869
"FL","Hispanic",0.5,"18-29","No HS",41196
"FL","Hispanic",0.5,"18-29","HS",89819
"FL","Hispanic",0.5,"18-29","Some college",118488
"FL","Hispanic",0.5,"18-29","4-Year College",28719
"FL","Hispanic",0.5,"18-29","Post-grad",5666
"FL","Hispanic",0.5,"30-39","No HS",22642
"FL","Hispanic",0.5,"30-39","HS",62154
"FL","Hispanic",0.5,"30-39","Some college",67625
"FL","Hispanic",0.5,"30-39","4-Year College",36033
"FL","Hispanic",0.5,"30-39","Post-grad",16580
"FL","Hispanic",0.5,"40-49","No HS",25959
"FL","Hispanic",0.5,"40-49","HS",61171
"FL","Hispanic",0.5,"40-49","Some college",60084
"FL","Hispanic",0.5,"40-49","4-Year College",38701
"FL","Hispanic",0.5,"40-49","Post-grad",21450
"FL","Hispanic",0.5,"50-59","No HS",24762
"FL","Hispanic",0.5,"50-59","HS",51198
"FL","Hispanic",0.5,"50-59","Some college",54372
"FL","Hispanic",0.5,"50-59","4-Year College",33032
"FL","Hispanic",0.5,"50-59","Post-grad",20131
"FL","Hispanic",0.5,"60-69","No HS",24680
"FL","Hispanic",0.5,"60-69","HS",31947
"FL","Hispanic",0.5,"60-69","Some college",32910
"FL","Hispanic",0.5,"60-69","4-Year College",19290
"FL","Hispanic",0.5,"60-69","Post-grad",13421
"FL","Hispanic",0.5,"70+","No HS",48432
"FL","Hispanic",0.5,"70+","HS",34502
"FL","Hispanic",0.5,"70+","Some college",22957
"FL","Hispanic",0.5,"70+","4-Year College",14663
"FL","Hispanic",0.5,"70+","Post-grad",10581
"GA","White",-0.5,"18-29","No HS",39064
"GA","White",-0.5,"18-29","HS",94875
"GA","White",-0.5,"18-29","Some college",166351
"GA","White",-0.5,"18-29","4-Year College",80409
"GA","White",-0.5,"18-29","Post-grad",19031
"GA","White",-0.5,"30-39","No HS",22276
"GA","White",-0.5,"30-39","HS",61240
"GA","White",-0.5,"30-39","Some college",101053
"GA","White",-0.5,"30-39","4-Year College",85414
"GA","White",-0.5,"30-39","Post-grad",55945
"GA","White",-0.5,"40-49","No HS",22543
"GA","White",-0.5,"40-49","HS",79826
"GA","White",-0.5,"40-49","Some college",109537
"GA","White",-0.5,"40-49","4-Year College",90961
"GA","White",-0.5,"40-49","Post-grad",58954
"GA","White",-0.5,"50-59","No HS",31814
"GA","White",-0.5,"50-59","HS",114859
"GA","White",-0.5,"50-59","Some college",123172
"GA","White",-0.5,"50-59","4-Year College",84452
"GA","White",-0.5,"50-59","Post-grad",50661
"GA","White",-0.5,"60-69","No HS",31715
"GA","White",-0.5,"60-69","HS",113086
"GA","White",-0.5,"60-69","Some college",105264
"GA","White",-0.5,"60-69","4-Year College",59054
"GA","White",-0.5,"60-69","Post-grad",47860
"GA","White",-0.5,"70+","No HS",60671
"GA","White",-0.5,"70+","HS",144272
"GA","White",-0.5,"70+","Some college",84582
"GA","White",-0.5,"70+","4-Year College",41288
"GA","White",-0.5,"70+","Post-grad",29835
"GA","White",0.5,"18-29","No HS",51537
"GA","White",0.5,"18-29","HS",132942
"GA","White",0.5,"18-29","Some college",156467
"GA","White",0.5,"18-29","4-Year College",63126
"GA","White",0.5,"18-29","Post-grad",12092
"GA","White",0.5,"30-39","No HS",30293
"GA","White",0.5,"30-39","HS",85352
"GA","White",0.5,"30-39","Some college",96208
"GA","White",0.5,"30-39","4-Year College",74384
"GA","White",0.5,"30-39","Post-grad",36652
"GA","White",0.5,"40-49","No HS",31965
"GA","White",0.5,"40-49","HS",99023
"GA","White",0.5,"40-49","Some college",93796
"GA","White",0.5,"40-49","4-Year College",86647
"GA","White",0.5,"40-49","Post-grad",47179
"GA","White",0.5,"50-59","No HS",42798
"GA","White",0.5,"50-59","HS",117562
"GA","White",0.5,"50-59","Some college",103182
"GA","White",0.5,"50-59","4-Year College",84212
"GA","White",0.5,"50-59","Post-grad",47248
"GA","White",0.5,"60-69","No HS",32147
"GA","White",0.5,"60-69","HS",86802
"GA","White",0.5,"60-69","Some college",87780
"GA","White",0.5,"60-69","4-Year College",70413
"GA","White",0.5,"60-69","Post-grad",49270
"GA","White",0.5,"70+","No HS",42273
"GA","White",0.5,"70+","HS",79163
"GA","White",0.5,"70+","Some college",63672
"GA","White",0.5,"70+","4-Year College",48378
"GA","White",0.5,"70+","Post-grad",42229
"GA","Black",-0.5,"18-29","No HS",32553
"GA","Black",-0.5,"18-29","HS",89765
"GA","Black",-0.5,"18-29","Some college",138480
"GA","Black",-0.5,"18-29","4-Year College",36620
"GA","Black",-0.5,"18-29","Post-grad",8768
"GA","Black",-0.5,"30-39","No HS",18622
"GA","Black",-0.5,"30-39","HS",55235
"GA","Black",-0.5,"30-39","Some college",93461
"GA","Black",-0.5,"30-39","4-Year College",40222
"GA","Black",-0.5,"30-39","Post-grad",31041
"GA","Black",-0.5,"40-49","No HS",15818
"GA","Black",-0.5,"40-49","HS",54384
"GA","Black",-0.5,"40-49","Some college",84165
"GA","Black",-0.5,"40-49","4-Year College",42172
"GA","Black",-0.5,"40-49","Post-grad",34700
"GA","Black",-0.5,"50-59","No HS",23244
"GA","Black",-0.5,"50-59","HS",63771
"GA","Black",-0.5,"50-59","Some college",77041
"GA","Black",-0.5,"50-59","4-Year College",31589
"GA","Black",-0.5,"50-59","Post-grad",21118
"GA","Black",-0.5,"60-69","No HS",24788
"GA","Black",-0.5,"60-69","HS",54769
"GA","Black",-0.5,"60-69","Some college",48781
"GA","Black",-0.5,"60-69","4-Year College",19248
"GA","Black",-0.5,"60-69","Post-grad",15621
"GA","Black",-0.5,"70+","No HS",41627
"GA","Black",-0.5,"70+","HS",36004
"GA","Black",-0.5,"70+","Some college",19834
"GA","Black",-0.5,"70+","4-Year College",7921
"GA","Black",-0.5,"70+","Post-grad",8429
"GA","Black",0.5,"18-29","No HS",53261
"GA","Black",0.5,"18-29","HS",107498
"GA","Black",0.5,"18-29","Some college",106417
"GA","Black",0.5,"18-29","4-Year College",24044
"GA","Black",0.5,"18-29","Post-grad",2678
"GA","Black",0.5,"30-39","No HS",27954
"GA","Black",0.5,"30-39","HS",72210
"GA","Black",0.5,"30-39","Some college",61238
"GA","Black",0.5,"30-39","4-Year College",25612
"GA","Black",0.5,"30-39","Post-grad",11776
"GA","Black",0.5,"40-49","No HS",20063
"GA","Black",0.5,"40-49","HS",66983
"GA","Black",0.5,"40-49","Some college",57149
"GA","Black",0.5,"40-49","4-Year College",27057
"GA","Black",0.5,"40-49","Post-grad",15747
"GA","Black",0.5,"50-59","No HS",27141
"GA","Black",0.5,"50-59","HS",68769
"GA","Black",0.5,"50-59","Some college",51399
"GA","Black",0.5,"50-59","4-Year College",22669
"GA","Black",0.5,"50-59","Post-grad",12032
"GA","Black",0.5,"60-69","No HS",24846
"GA","Black",0.5,"60-69","HS",44776
"GA","Black",0.5,"60-69","Some college",31995
"GA","Black",0.5,"60-69","4-Year College",14337
"GA","Black",0.5,"60-69","Post-grad",7752
"GA","Black",0.5,"70+","No HS",23949
"GA","Black",0.5,"70+","HS",20874
"GA","Black",0.5,"70+","Some college",13270
"GA","Black",0.5,"70+","4-Year College",4392
"GA","Black",0.5,"70+","Post-grad",5284
"GA","Other",-0.5,"18-29","No HS",6700
"GA","Other",-0.5,"18-29","HS",14933
"GA","Other",-0.5,"18-29","Some college",26281
"GA","Other",-0.5,"18-29","4-Year College",11632
"GA","Other",-0.5,"18-29","Post-grad",2816
"GA","Other",-0.5,"30-39","No HS",3818
"GA","Other",-0.5,"30-39","HS",7603
"GA","Other",-0.5,"30-39","Some college",12511
"GA","Other",-0.5,"30-39","4-Year College",11126
"GA","Other",-0.5,"30-39","Post-grad",8296
"GA","Other",-0.5,"40-49","No HS",4960
"GA","Other",-0.5,"40-49","HS",7316
"GA","Other",-0.5,"40-49","Some college",10224
"GA","Other",-0.5,"40-49","4-Year College",11306
"GA","Other",-0.5,"40-49","Post-grad",7985
"GA","Other",-0.5,"50-59","No HS",4326
"GA","Other",-0.5,"50-59","HS",6820
"GA","Other",-0.5,"50-59","Some college",8308
"GA","Other",-0.5,"50-59","4-Year College",7821
"GA","Other",-0.5,"50-59","Post-grad",4761
"GA","Other",-0.5,"60-69","No HS",4635
"GA","Other",-0.5,"60-69","HS",5401
"GA","Other",-0.5,"60-69","Some college",6385
"GA","Other",-0.5,"60-69","4-Year College",4279
"GA","Other",-0.5,"60-69","Post-grad",2952
"GA","Other",-0.5,"70+","No HS",5250
"GA","Other",-0.5,"70+","HS",3165
"GA","Other",-0.5,"70+","Some college",2123
"GA","Other",-0.5,"70+","4-Year College",2094
"GA","Other",-0.5,"70+","Post-grad",1414
"GA","Other",0.5,"18-29","No HS",8479
"GA","Other",0.5,"18-29","HS",18738
"GA","Other",0.5,"18-29","Some college",24258
"GA","Other",0.5,"18-29","4-Year College",9770
"GA","Other",0.5,"18-29","Post-grad",2204
"GA","Other",0.5,"30-39","No HS",4503
"GA","Other",0.5,"30-39","HS",7950
"GA","Other",0.5,"30-39","Some college",11414
"GA","Other",0.5,"30-39","4-Year College",8453
"GA","Other",0.5,"30-39","Post-grad",5958
"GA","Other",0.5,"40-49","No HS",4706
"GA","Other",0.5,"40-49","HS",7212
"GA","Other",0.5,"40-49","Some college",8150
"GA","Other",0.5,"40-49","4-Year College",9558
"GA","Other",0.5,"40-49","Post-grad",7601
"GA","Other",0.5,"50-59","No HS",5175
"GA","Other",0.5,"50-59","HS",5899
"GA","Other",0.5,"50-59","Some college",6714
"GA","Other",0.5,"50-59","4-Year College",6134
"GA","Other",0.5,"50-59","Post-grad",6061
"GA","Other",0.5,"60-69","No HS",3518
"GA","Other",0.5,"60-69","HS",4435
"GA","Other",0.5,"60-69","Some college",4273
"GA","Other",0.5,"60-69","4-Year College",3848
"GA","Other",0.5,"60-69","Post-grad",4045
"GA","Other",0.5,"70+","No HS",2696
"GA","Other",0.5,"70+","HS",2397
"GA","Other",0.5,"70+","Some college",2049
"GA","Other",0.5,"70+","4-Year College",2122
"GA","Other",0.5,"70+","Post-grad",2978
"GA","Hispanic",-0.5,"18-29","No HS",4770
"GA","Hispanic",-0.5,"18-29","HS",11069
"GA","Hispanic",-0.5,"18-29","Some college",14419
"GA","Hispanic",-0.5,"18-29","4-Year College",4142
"GA","Hispanic",-0.5,"18-29","Post-grad",877
"GA","Hispanic",-0.5,"30-39","No HS",3371
"GA","Hispanic",-0.5,"30-39","HS",4671
"GA","Hispanic",-0.5,"30-39","Some college",6530
"GA","Hispanic",-0.5,"30-39","4-Year College",4106
"GA","Hispanic",-0.5,"30-39","Post-grad",2218
"GA","Hispanic",-0.5,"40-49","No HS",2558
"GA","Hispanic",-0.5,"40-49","HS",4297
"GA","Hispanic",-0.5,"40-49","Some college",5573
"GA","Hispanic",-0.5,"40-49","4-Year College",4166
"GA","Hispanic",-0.5,"40-49","Post-grad",2165
"GA","Hispanic",-0.5,"50-59","No HS",2459
"GA","Hispanic",-0.5,"50-59","HS",2859
"GA","Hispanic",-0.5,"50-59","Some college",3962
"GA","Hispanic",-0.5,"50-59","4-Year College",2577
"GA","Hispanic",-0.5,"50-59","Post-grad",1603
"GA","Hispanic",-0.5,"60-69","No HS",1498
"GA","Hispanic",-0.5,"60-69","HS",2073
"GA","Hispanic",-0.5,"60-69","Some college",2890
"GA","Hispanic",-0.5,"60-69","4-Year College",1253
"GA","Hispanic",-0.5,"60-69","Post-grad",1038
"GA","Hispanic",-0.5,"70+","No HS",2102
"GA","Hispanic",-0.5,"70+","HS",1799
"GA","Hispanic",-0.5,"70+","Some college",1577
"GA","Hispanic",-0.5,"70+","4-Year College",691
"GA","Hispanic",-0.5,"70+","Post-grad",353
"GA","Hispanic",0.5,"18-29","No HS",7093
"GA","Hispanic",0.5,"18-29","HS",13407
"GA","Hispanic",0.5,"18-29","Some college",13221
"GA","Hispanic",0.5,"18-29","4-Year College",3355
"GA","Hispanic",0.5,"18-29","Post-grad",484
"GA","Hispanic",0.5,"30-39","No HS",3451
"GA","Hispanic",0.5,"30-39","HS",5698
"GA","Hispanic",0.5,"30-39","Some college",5015
"GA","Hispanic",0.5,"30-39","4-Year College",3037
"GA","Hispanic",0.5,"30-39","Post-grad",1452
"GA","Hispanic",0.5,"40-49","No HS",4237
"GA","Hispanic",0.5,"40-49","HS",4935
"GA","Hispanic",0.5,"40-49","Some college",5791
"GA","Hispanic",0.5,"40-49","4-Year College",3530
"GA","Hispanic",0.5,"40-49","Post-grad",2304
"GA","Hispanic",0.5,"50-59","No HS",3390
"GA","Hispanic",0.5,"50-59","HS",3445
"GA","Hispanic",0.5,"50-59","Some college",3344
"GA","Hispanic",0.5,"50-59","4-Year College",2782
"GA","Hispanic",0.5,"50-59","Post-grad",2236
"GA","Hispanic",0.5,"60-69","No HS",1686
"GA","Hispanic",0.5,"60-69","HS",1920
"GA","Hispanic",0.5,"60-69","Some college",2085
"GA","Hispanic",0.5,"60-69","4-Year College",1634
"GA","Hispanic",0.5,"60-69","Post-grad",1446
"GA","Hispanic",0.5,"70+","No HS",1365
"GA","Hispanic",0.5,"70+","HS",956
"GA","Hispanic",0.5,"70+","Some college",1046
"GA","Hispanic",0.5,"70+","4-Year College",788
"GA","Hispanic",0.5,"70+","Post-grad",687
"HI","White",-0.5,"18-29","No HS",792
"HI","White",-0.5,"18-29","HS",4062
"HI","White",-0.5,"18-29","Some college",8787
"HI","White",-0.5,"18-29","4-Year College",5554
"HI","White",-0.5,"18-29","Post-grad",1403
"HI","White",-0.5,"30-39","No HS",552
"HI","White",-0.5,"30-39","HS",2410
"HI","White",-0.5,"30-39","Some college",5669
"HI","White",-0.5,"30-39","4-Year College",6798
"HI","White",-0.5,"30-39","Post-grad",3917
"HI","White",-0.5,"40-49","No HS",335
"HI","White",-0.5,"40-49","HS",2065
"HI","White",-0.5,"40-49","Some college",4907
"HI","White",-0.5,"40-49","4-Year College",4915
"HI","White",-0.5,"40-49","Post-grad",3482
"HI","White",-0.5,"50-59","No HS",511
"HI","White",-0.5,"50-59","HS",3678
"HI","White",-0.5,"50-59","Some college",6529
"HI","White",-0.5,"50-59","4-Year College",5265
"HI","White",-0.5,"50-59","Post-grad",3484
"HI","White",-0.5,"60-69","No HS",418
"HI","White",-0.5,"60-69","HS",4265
"HI","White",-0.5,"60-69","Some college",8396
"HI","White",-0.5,"60-69","4-Year College",6077
"HI","White",-0.5,"60-69","Post-grad",5049
"HI","White",-0.5,"70+","No HS",1730
"HI","White",-0.5,"70+","HS",5497
"HI","White",-0.5,"70+","Some college",5173
"HI","White",-0.5,"70+","4-Year College",3950
"HI","White",-0.5,"70+","Post-grad",3412
"HI","White",0.5,"18-29","No HS",836
"HI","White",0.5,"18-29","HS",11376
"HI","White",0.5,"18-29","Some college",12949
"HI","White",0.5,"18-29","4-Year College",5244
"HI","White",0.5,"18-29","Post-grad",699
"HI","White",0.5,"30-39","No HS",461
"HI","White",0.5,"30-39","HS",4931
"HI","White",0.5,"30-39","Some college",8174
"HI","White",0.5,"30-39","4-Year College",7002
"HI","White",0.5,"30-39","Post-grad",3423
"HI","White",0.5,"40-49","No HS",354
"HI","White",0.5,"40-49","HS",3355
"HI","White",0.5,"40-49","Some college",7228
"HI","White",0.5,"40-49","4-Year College",5344
"HI","White",0.5,"40-49","Post-grad",3886
"HI","White",0.5,"50-59","No HS",892
"HI","White",0.5,"50-59","HS",5463
"HI","White",0.5,"50-59","Some college",6898
"HI","White",0.5,"50-59","4-Year College",5574
"HI","White",0.5,"50-59","Post-grad",4437
"HI","White",0.5,"60-69","No HS",1128
"HI","White",0.5,"60-69","HS",4314
"HI","White",0.5,"60-69","Some college",9476
"HI","White",0.5,"60-69","4-Year College",6606
"HI","White",0.5,"60-69","Post-grad",5120
"HI","White",0.5,"70+","No HS",1051
"HI","White",0.5,"70+","HS",3800
"HI","White",0.5,"70+","Some college",5001
"HI","White",0.5,"70+","4-Year College",4122
"HI","White",0.5,"70+","Post-grad",6063
"HI","Black",-0.5,"18-29","No HS",90
"HI","Black",-0.5,"18-29","HS",545
"HI","Black",-0.5,"18-29","Some college",1192
"HI","Black",-0.5,"18-29","4-Year College",309
"HI","Black",-0.5,"18-29","Post-grad",0
"HI","Black",-0.5,"30-39","No HS",110
"HI","Black",-0.5,"30-39","HS",138
"HI","Black",-0.5,"30-39","Some college",879
"HI","Black",-0.5,"30-39","4-Year College",526
"HI","Black",-0.5,"30-39","Post-grad",491
"HI","Black",-0.5,"40-49","No HS",38
"HI","Black",-0.5,"40-49","HS",258
"HI","Black",-0.5,"40-49","Some college",442
"HI","Black",-0.5,"40-49","4-Year College",236
"HI","Black",-0.5,"40-49","Post-grad",27
"HI","Black",-0.5,"50-59","No HS",17
"HI","Black",-0.5,"50-59","HS",207
"HI","Black",-0.5,"50-59","Some college",394
"HI","Black",-0.5,"50-59","4-Year College",200
"HI","Black",-0.5,"50-59","Post-grad",203
"HI","Black",-0.5,"60-69","No HS",0
"HI","Black",-0.5,"60-69","HS",0
"HI","Black",-0.5,"60-69","Some college",205
"HI","Black",-0.5,"60-69","4-Year College",33
"HI","Black",-0.5,"60-69","Post-grad",52
"HI","Black",-0.5,"70+","No HS",85
"HI","Black",-0.5,"70+","HS",67
"HI","Black",-0.5,"70+","Some college",127
"HI","Black",-0.5,"70+","4-Year College",135
"HI","Black",-0.5,"70+","Post-grad",105
"HI","Black",0.5,"18-29","No HS",205
"HI","Black",0.5,"18-29","HS",2598
"HI","Black",0.5,"18-29","Some college",1785
"HI","Black",0.5,"18-29","4-Year College",249
"HI","Black",0.5,"18-29","Post-grad",0
"HI","Black",0.5,"30-39","No HS",231
"HI","Black",0.5,"30-39","HS",554
"HI","Black",0.5,"30-39","Some college",1245
"HI","Black",0.5,"30-39","4-Year College",958
"HI","Black",0.5,"30-39","Post-grad",187
"HI","Black",0.5,"40-49","No HS",0
"HI","Black",0.5,"40-49","HS",764
"HI","Black",0.5,"40-49","Some college",957
"HI","Black",0.5,"40-49","4-Year College",637
"HI","Black",0.5,"40-49","Post-grad",254
"HI","Black",0.5,"50-59","No HS",81
"HI","Black",0.5,"50-59","HS",218
"HI","Black",0.5,"50-59","Some college",755
"HI","Black",0.5,"50-59","4-Year College",219
"HI","Black",0.5,"50-59","Post-grad",70
"HI","Black",0.5,"60-69","No HS",74
"HI","Black",0.5,"60-69","HS",144
"HI","Black",0.5,"60-69","Some college",468
"HI","Black",0.5,"60-69","4-Year College",193
"HI","Black",0.5,"60-69","Post-grad",80
"HI","Black",0.5,"70+","No HS",63
"HI","Black",0.5,"70+","HS",204
"HI","Black",0.5,"70+","Some college",142
"HI","Black",0.5,"70+","4-Year College",27
"HI","Black",0.5,"70+","Post-grad",62
"HI","Other",-0.5,"18-29","No HS",4072
"HI","Other",-0.5,"18-29","HS",20907
"HI","Other",-0.5,"18-29","Some college",30455
"HI","Other",-0.5,"18-29","4-Year College",11422
"HI","Other",-0.5,"18-29","Post-grad",2292
"HI","Other",-0.5,"30-39","No HS",2068
"HI","Other",-0.5,"30-39","HS",13685
"HI","Other",-0.5,"30-39","Some college",18965
"HI","Other",-0.5,"30-39","4-Year College",14428
"HI","Other",-0.5,"30-39","Post-grad",7243
"HI","Other",-0.5,"40-49","No HS",2064
"HI","Other",-0.5,"40-49","HS",14682
"HI","Other",-0.5,"40-49","Some college",19464
"HI","Other",-0.5,"40-49","4-Year College",13501
"HI","Other",-0.5,"40-49","Post-grad",6670
"HI","Other",-0.5,"50-59","No HS",3629
"HI","Other",-0.5,"50-59","HS",17548
"HI","Other",-0.5,"50-59","Some college",20113
"HI","Other",-0.5,"50-59","4-Year College",13828
"HI","Other",-0.5,"50-59","Post-grad",5668
"HI","Other",-0.5,"60-69","No HS",5535
"HI","Other",-0.5,"60-69","HS",14098
"HI","Other",-0.5,"60-69","Some college",18301
"HI","Other",-0.5,"60-69","4-Year College",12143
"HI","Other",-0.5,"60-69","Post-grad",5343
"HI","Other",-0.5,"70+","No HS",12633
"HI","Other",-0.5,"70+","HS",25363
"HI","Other",-0.5,"70+","Some college",13992
"HI","Other",-0.5,"70+","4-Year College",9199
"HI","Other",-0.5,"70+","Post-grad",4529
"HI","Other",0.5,"18-29","No HS",5746
"HI","Other",0.5,"18-29","HS",29046
"HI","Other",0.5,"18-29","Some college",30118
"HI","Other",0.5,"18-29","4-Year College",9225
"HI","Other",0.5,"18-29","Post-grad",1284
"HI","Other",0.5,"30-39","No HS",3375
"HI","Other",0.5,"30-39","HS",19424
"HI","Other",0.5,"30-39","Some college",19553
"HI","Other",0.5,"30-39","4-Year College",11095
"HI","Other",0.5,"30-39","Post-grad",4461
"HI","Other",0.5,"40-49","No HS",3282
"HI","Other",0.5,"40-49","HS",19312
"HI","Other",0.5,"40-49","Some college",17773
"HI","Other",0.5,"40-49","4-Year College",10712
"HI","Other",0.5,"40-49","Post-grad",4442
"HI","Other",0.5,"50-59","No HS",4036
