Subject no.,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study, 
156,156,1,1,1,1,1,4,6,5,4,5,4,3,7,0,0,"Testing how well you can perform tasks with body parts different from those you would normally use. Some exercises were used, e.g. the lines and the evaluation were used. ",20,1,1,Political science,
157,157,0,1,1,1,1,4,5,1,1,2,2,5,6,1,0,I think the first part specifically tested coordination and that by each part the relationship between coordination and thinking ability should be difficult. So at the cartoons you have to think more than by connecting the numbers.,19,1,1,Political science,
158,158,1,1,1,1,1,4,7,6,7,3,5,7,6,1,0,If people with physical disability can develop different qualities compared to abled people.,21,1,1,Communication Science,
159,159,0,1,1,1,1,4,6,2,3,6,5,6,3,1,0,How well people can use a pen with their mouth,19,1,1,Communication Science,
160,160,1,1,1,1,1,4,5,8,2,5,5,7,7,1,0,Influence of a camera during a task that can be seen as 'weird'.,22,0,1,Spanish language and Culture,
161,161,0,1,1,1,1,4,3,2,5,6,3,2,6,1,0,How easy one can adapt,20,0,1,Social Geography,
162,162,1,1,1,1,1,4,7,6,1,3,8,8,5,0,0,how difficult it is for healty people and what can be done if they lose an arm or something like that,21,0,1,Teaching primary education,
163,163,0,1,1,1,1,4,2,2,1,6,2,3,7,1,0,Seeing if the participant actually follows the instructions when there is no more supervision/,25,1,1,Engineer,
164,164,1,1,1,1,1,4,5,2,1,3,1,1,3,1,0,"Something to do with concentration and muscles or practice and muscles. The harder you concentrate on what you are doing, the less you focus on how tightly you hold the pen",25,0,0,"Politics, Psychology, Law and Economics",
165,165,0,1,1,1,1,4,8,6,3,8,6,4,4,1,0,"Appreciation of 'non-handicapped' regarding performing daily activities. Everytime it was asked how difficult I thought something was and amused regarding 'daily activity reading comics'. Seeing how 'difficult' activities are related to 'amusing' activities, if you like amusing activities (comics) better.",23,0,1,Communication Science,
166,166,1,1,1,1,1,4,6,4,3,2,4,6,6,1,1,I believe that by holding the pen in your mouth your face frowns so that you are less positive about the cartoons. I think that this study is checking this.,20,1,1,,
167,167,0,1,1,1,1,4,6,5,6,5,3,4,6,0,0,If people with handicaps can use their mouth to control things. Also if holding something in your mouth influences how you think about things,19,1,1,Social Geography,
168,168,1,1,1,1,1,4,2,0,5,6,6,7,6,1,0,"To judge the degree of difficulty, user-friendliness and accuracy of devices that can be operated wth a pen in ones mouth. Connection to intelligence, understanding the cartoons",22,1,1,Economics & Business Administration,
169,169,0,1,1,1,1,4,4,5,7,4,7,7,7,1,0,"How well you can use your muscles in your mouths, so that maybe there will be found a cheaper alternative with which you can use your mouth differently",25,0,1,Business,
170,170,,,,,,0,,,,,,,,,,,,,,,
171,171,0,1,1,1,1,4,7,6,3,5,3,6,6,1,0,Seeing how abled people experience living with a disability. If writing with your mouth is a handy way of communicating,23,0,1,Medicine,
172,172,,,,,,0,,,,,,,,,,,,,,,
173,173,0,1,1,0,1,3,6,7,1,3,1,0,6,1,1,Humor + concentrate on something physical difficult. appreciation of a joke if you cannot smile?,20,0,1,Anthropology,
174,174,,,,,,0,,,,,,,,,,,,,,,
175,175,0,1,1,1,1,4,5,4,5,6,3,7,6,1,0,How much control one has over their mouth muscles and if you can still control this while you are amused?,26,0,1,Anthropology,
176,176,,,,,,0,,,,,,,,,,,,,,,
177,177,0,1,1,1,1,4,6,6,7,4,6,6,5,1,0,To which degree abnormal acts affect concentration,19,1,1,General Social Sciences,
178,178,,,,,,0,,,,,,,,,,,,,,,
179,179,0,1,1,1,1,4,7,7,7,8,4,8,3,1,0,How different activities during writing with your mouth influence the quality of the activity,21,1,1,General Social Sciences,
180,180,,,,,,0,,,,,,,,,,,,,,,
181,181,0,1,1,1,1,4,2,7,5,3,2,5,7,1,0,How the motorics work when you are doing something else at the same time (like reading the comics of recognizing the vowel) that requires some thinking,21,1,1,Economics & Business,
182,182,,,,,,0,,,,,,,,,,,,,,,
183,183,0,1,1,1,1,4,8,7,3,4,5,7,3,1,0,If the participants can think well or understand something while we are doing something unnatural and very intensively. And if writing is a good alternative for people with disabilities.,20,1,1,General Social Sciences,
184,184,,,,,,0,,,,,,,,,,,,,,,
185,185,0,1,1,0,1,3,7,5,4,7,8,7,7,1,0,The goal of this study is to see whether people can perform task with their mouth in a coordinated manner. So that people who have spasms or who have lost their arms can apply this.,23,1,1,Economics,
186,186,,,,,,0,,,,,,,,,,,,,,,
187,187,0,1,1,1,1,4,2,6,2,8,6,8,8,1,0,This study investigates whether people can perform certain physical tasks with another part of their body,21,0,1,Psychobiology,
188,188,,,,,,0,,,,,,,,,,,,,,,
189,189,0,1,1,1,1,4,2,5,5,2,5,1,7,1,0,"Investigate whether holding a pen in your mouth, between your lips is a good way to help disabled people write/draw.",20,0,1,Pscychobiology,
190,190,,,,,,0,,,,,,,,,,,,,,,
191,191,0,1,1,1,1,4,6,3,2,4,3,1,6,1,0,The goal of this study is to measure to what extend you can concentrate on the task while you focus on other things,20,1,1,Economics & Finance,
192,192,,,,,,0,,,,,,,,,,,,,,,
193,193,0,1,1,1,1,4,1,8,7,3,0,0,7,1,0,See how gullible people are,22,1,1,Spanish Language and Culture,
194,194,,,,,,0,,,,,,,,,,,,,,,
195,195,0,1,1,1,0,3,8,3,2,4,6,9,3,1,0,"If I have understood it correctly, this study is a pilot study. I think it will be a control group for a study on pens that facilitate writing with the mouth. Pens that do not fall out of the mouth and have a good grip with the lips. Further research will show whether these ordinary stabilo pens score significantly worse than other more convenient pens.",19,1,1,"Politics, Psychology, Law and Economics",
196,196,,,,,,0,,,,,,,,,,,,,,,
197,197,,,,,,0,,,,,,,,,,,,,,,
198,198,,,,,,0,,,,,,,,,,,,,,,
199,199,,,,,,0,,,,,,,,,,,,,,,
200,200,,,,,,0,,,,,,,,,,,,,,,
201,201,,,,,,0,,,,,,,,,,,,,,,
202,202,,,,,,0,,,,,,,,,,,,,,,
203,203,,,,,,0,,,,,,,,,,,,,,,
204,204,,,,,,0,,,,,,,,,,,,,,,
205,205,,,,,,0,,,,,,,,,,,,,,,
206,206,,,,,,0,,,,,,,,,,,,,,,
207,207,,,,,,0,,,,,,,,,,,,,,,
208,208,,,,,,0,,,,,,,,,,,,,,,
209,209,,,,,,0,,,,,,,,,,,,,,,
